task_id,milestone_label,category,original_definition,forecast_source,p10_year,p50_year,p90_year,audit_status_2026,actual_year_if_achieved,candidate_or_progress_year,band_result,confidence,primary_evidence_url,secondary_evidence_url,evidence_summary,strictness_notes,chart_use,audited_on
rosetta,Translate a new-to-humanity language,language,"Translate a text written in a newly discovered language into English as well as a team of human experts, using a single other document in both languages (like a Rosetta stone).",2016 ESPAI fixed-probabilities framing,2026,2036,2066,not demonstrated,,,,medium,https://arxiv.org/abs/2505.21781,,"Recent low-resource speech-translation work shows progress, but I did not locate a public demonstration of translating a newly discovered language from a single bilingual document at human-expert level.",Absence of a located public demonstration is not proof that no private system can do it.,exclude from achieved markers,2026-06-10
subtitles,Translate a new-to-it language,language,"Translate speech in a new language given only unlimited films with subtitles in the new language, with training data for other languages.",2016 ESPAI fixed-probabilities framing,2021,2026,2031,not demonstrated,,,,medium,https://arxiv.org/abs/2505.21781,,"Low-resource speech translation has improved, but I did not locate a public system learning a new language solely from unlimited subtitled films plus other-language training data.",The original training-data condition is unusually specific.,exclude from achieved markers,2026-06-10
translate,Translate as well as bilingual humans,language,"Perform translation about as good as a human fluent in both languages but unskilled at translation, for most text types and popular languages.",2016 ESPAI fixed-probabilities framing,2019,2023,2031,partial / narrower benchmark,,2018,,high,https://blogs.microsoft.com/ai/chinese-to-english-translator-milestone/,https://arxiv.org/abs/1808.10432,A 2018 Microsoft system reported human parity on a Chinese-to-English news benchmark. A subsequent reassessment argued that parity did not hold under stronger evaluation.,"The original task requires parity for most text types and popular languages, not one news-domain language pair.","show as partial, not achieved",2026-06-10
phone_bank,Phone bank as well as humans,service,"Provide phone banking services as well as human operators can, without annoying customers more than humans.",2016 ESPAI fixed-probabilities framing,2019,2022,2026,not demonstrated,,,,medium,https://www.acsi.org/industries/finance-and-insurance/banks/,https://cresta.com/guides/guides-voice-ai-platforms-banking,"Voice agents handle routine banking workflows, but I did not locate a public bank-specific benchmark showing service quality equal to human operators without greater customer annoyance.",Vendor deployment claims are not a parity benchmark.,exclude from achieved markers,2026-06-10
class,Correctly group unseen objects,vision,Correctly group images of previously unseen objects into classes after training on a similar labeled dataset containing completely different classes.,2016 ESPAI fixed-probabilities framing,2018,2020.5,2022.5,likely achieved,2021,2021,inside 10–90% band,medium,https://openai.com/index/clip/,,CLIP demonstrated zero-shot transfer to visual classification benchmarks using category names not seen as task-specific training labels.,CLIP's natural-language supervision is not identical to the original setup of training on a labeled dataset with completely different classes.,include with qualification,2026-06-10
one_shot,One-shot image labeling,vision,"See only one labeled image of a new object, then recognize the object in real-world scenes to the extent that a typical human can.",2016 ESPAI fixed-probabilities framing,2020.5,2024,2036,partial / narrower benchmark,,2018,,medium,https://www.microsoft.com/en-us/research/publication/memory-matching-networks-for-one-shot-image-recognition/,,"One-shot image-recognition systems have demonstrated learning from one example, but I did not locate a clean public demonstration matching typical-human recognition in real-world scenes.",Benchmark one-shot recognition is narrower than robust real-world scene recognition.,"show as partial, not achieved",2026-06-10
video_scene,Generate video from a photograph,vision / generative media,"See a short video of a scene, then construct a 3D model good enough to create a realistic video of the same scene from a substantially different angle.",2016 ESPAI fixed-probabilities framing,2021,2026,2036,likely achieved,2020,2020,before 10% band,medium,https://arxiv.org/abs/2012.12247,https://arxiv.org/abs/2003.08934,NR-NeRF demonstrated dynamic-scene reconstruction and novel-view rendering from monocular video; NeRF established high-quality novel-view synthesis from images.,"The quality threshold 'realistic video' is judgment-based, and the exact capture assumptions matter.",include with qualification,2026-06-10
transcribe,Transcribe as well as humans,speech,Transcribe human speech with a variety of accents in a noisy environment as well as a typical human can.,2016 ESPAI fixed-probabilities framing,2021,2026,2036,partial / close but not proven,,2022,,high,https://arxiv.org/abs/2212.04356,,Whisper reported approaching human-level robustness and accuracy across diverse speech data.,Approaching human performance is not the same as proving parity across noisy environments and varied accents.,"show as partial, not achieved",2026-06-10
read_aloud,Read aloud better than humans,speech,Take a written passage and output a recording that cannot be distinguished from a voice actor by an expert listener.,2016 ESPAI fixed-probabilities framing,2021,2026,2031,likely achieved,2022,2022,inside 10–90% band,medium,https://arxiv.org/abs/2205.04421,https://arxiv.org/abs/2403.03100,NaturalSpeech reported no statistically significant quality difference from human recordings on a benchmark; later work continued to report on-par quality.,The original test is stricter: indistinguishable from a voice actor to an expert listener.,include with qualification,2026-06-10
theorems,Prove and generate top theorems,math,"Routinely and autonomously prove mathematical theorems publishable in top mathematics journals today, including generating the theorems to prove.",2016 ESPAI fixed-probabilities framing,2026,2066,2106,not demonstrated,,2026,,high,https://arxiv.org/abs/2602.10177,,"Recent autonomous mathematics agents show meaningful research progress, but I did not locate evidence of routinely and autonomously generating and proving top-journal-level theorems.",One-off assistance or selected open problems is not routine autonomous top-journal mathematics.,exclude from achieved markers,2026-06-10
putnam,Win Putnam competition,math,Perform as well as the best human entrants in the Putnam competition.,2016 ESPAI fixed-probabilities framing,2031,2051,2071,likely achieved,2025,2025,before 10% band,medium,https://matharena.ai/putnam/,https://deepmind.google/blog/advanced-version-of-gemini-with-deep-think-officially-achieves-gold-medal-standard-at-the-international-mathematical-olympiad/,MathArena's Putnam 2025 evaluation reports that leading agentic systems scored at a level that would place within the top ten human competitors.,"The wording 'as well as the best human entrants' can be read as matching the absolute top score, not merely top-ten placement.",include with qualification,2026-06-10
go_low,Win Go with less gametime,games,Defeat the best Go players while training only on as many games as the best Go players have played.,2016 ESPAI fixed-probabilities framing,2019.5,2024.5,2035.5,not demonstrated,,2017,,high,https://deepmind.google/blog/alphago-zero-starting-from-scratch/,https://www.nature.com/articles/nature24270,"AlphaGo Zero surpassed prior Go systems through self-play, but it used vastly more games than elite human players have played.",The low-training-game constraint is the point of this milestone and is not satisfied.,exclude from achieved markers,2026-06-10
starcraft,Win Starcraft 2,games,"Beat the best human Starcraft 2 players at least 50% of the time, given a video of the screen.",2016 ESPAI fixed-probabilities framing,2018,2021,2026,partial / close but not proven,,2019,,high,https://deepmind.google/blog/alphastar-mastering-the-real-time-strategy-game-starcraft-ii/,https://www.nature.com/articles/s41586-019-1724-z,AlphaStar reached Grandmaster level in StarCraft II under human-like interface constraints.,The original wording specifies receiving a video of the screen. AlphaStar's observation interface does not cleanly match literal pixel-only play.,"show as partial, not achieved",2026-06-10
rand_game,Win any random computer game,games,"Play a randomly selected computer game, including difficult ones, about as well as a human novice after less than 10 minutes of game time.",2016 ESPAI fixed-probabilities framing,2021,2026,2031,partial / narrower benchmark,,2025,,medium,https://arxiv.org/html/2512.04797v1,https://deepmind.google/blog/sima-generalist-ai-agent-for-3d-virtual-environments/,SIMA-family agents show generalization to unseen 3D environments and a narrowing human-performance gap.,"I did not locate a demonstration satisfying random difficult-game selection, novice-level play, and less than ten minutes of experience.","show as partial, not achieved",2026-06-10
angry_birds,Win Angry Birds,games,Play new levels of Angry Birds better than the best human players.,2016 ESPAI fixed-probabilities framing,2018,2020,2022,not demonstrated,,,,medium,https://arxiv.org/abs/2106.01639,,The Angry Birds AI competition literature describes substantial remaining weaknesses on deceptive and unfamiliar levels. I did not locate a later public benchmark establishing superhuman performance on new levels.,A fresh competition result could change this assessment.,exclude from achieved markers,2026-06-10
atari,Beat professionals at all Atari games,games,Outperform professional game testers on all Atari games using no game-specific knowledge.,2016 ESPAI fixed-probabilities framing,2021,2026,2031,achieved,2020,2020,before 10% band,high,https://deepmind.google/blog/agent57-outperforming-the-human-atari-benchmark/,https://arxiv.org/abs/2003.13350,Agent57 was reported as the first deep-RL agent to outperform the standard human benchmark on all 57 Atari games.,The public benchmark uses human normalized scores; it is the cleanest match among the 32 tasks.,include,2026-06-10
atari_fifty,Win Atari with 20 minutes training,games,Outperform human novices on 50% of Atari games after only 20 minutes of training play time and no game-specific knowledge.,2016 ESPAI fixed-probabilities framing,2018,2021,2026,partial / close but not proven,,2021,,high,https://arxiv.org/abs/2111.00210,https://proceedings.neurips.cc/paper/2021/hash/d5eca8dc3820cad9fe56a3bafda65ca1-Abstract.html,"EfficientZero achieved strong Atari performance with 100k environment steps, approximately two hours of real-time play.",Two hours is substantially longer than the original twenty-minute training budget.,"show as partial, not achieved",2026-06-10
laundry,Fold laundry as well as humans,robotics,Fold laundry as well and as fast as the median human clothing-store employee.,2016 ESPAI fixed-probabilities framing,2018,2021.5,2026,not demonstrated,,,,high,https://knowablemagazine.org/content/article/technology/2025/why-robots-cant-fold-laundry,https://huggingface.co/spaces/lerobot/robot-folding,"Robots can fold constrained garments in demos, but I did not locate evidence matching the speed and reliability of a median clothing-store employee.",Garment variability and speed remain important gaps.,exclude from achieved markers,2026-06-10
race,Beat a human in a 5km race,robotics,Beat the fastest human runners in a 5 kilometer race through city streets using a bipedal robot body.,2016 ESPAI fixed-probabilities framing,2021,2026,2036,achieved,2026,2026,inside 10–90% band,medium,https://www.reuters.com/sports/humanoid-robots-race-past-humans-beijing-half-marathon-showing-rapid-advances-2026-04-19/,https://www.news.cn/sports/20260419/f6d832b147bc4fe3a90f6b819469ad00/c.html,"An autonomous Honor humanoid robot reportedly completed the 2026 Beijing E-Town half-marathon in 50:26, faster than the human half-marathon world record.","This appears stronger than the original five-kilometer city-street requirement. Because the result is recent, verify official race records before publication.",include; verify before publication,2026-06-10
lego,Assemble any LEGO,robotics,"Physically assemble any LEGO set given the pieces and instructions, using non-specialized robotics hardware.",2016 ESPAI fixed-probabilities framing,2021,2026,2031,not demonstrated,,,,high,https://icontrol.ri.cmu.edu/research/lego.html,https://arxiv.org/abs/2507.05515,LEGO assembly remains an active robotics challenge. I did not locate a public system capable of physically assembling any LEGO set from pieces and instructions on non-specialized hardware.,Small-structure demonstrations are much narrower than arbitrary-set assembly.,exclude from achieved markers,2026-06-10
sort,Efficiently sort very large lists,algorithms,"Learn to efficiently sort lists of numbers much larger than any training set used, without being given the form of the solution.",2016 ESPAI fixed-probabilities framing,2019,2021,2026,likely achieved,2023,2023,inside 10–90% band,medium,https://www.nature.com/articles/s41586-023-06004-9,https://deepmind.google/blog/alphadev-discovers-faster-sorting-algorithms/,AlphaDev discovered sorting algorithms from scratch that improved established small-sort routines and were incorporated into standard libraries.,The original wording emphasizes generalizing to lists much larger than training sets; AlphaDev is a close but not literal match.,include with qualification,2026-06-10
python,Write good Python code,coding,"Write concise, efficient, human-readable Python code to implement simple algorithms such as quicksort.",2016 ESPAI fixed-probabilities framing,2019,2026,2036,likely achieved,2021,2021,inside 10–90% band,medium,https://arxiv.org/abs/2107.03374,,"Codex demonstrated generation of Python functions from natural-language descriptions on HumanEval, including simple algorithmic tasks.","Conciseness, efficiency, and readability are partly qualitative; later systems are stronger, but 2021 is a defensible earliest marker.",include with qualification,2026-06-10
factoid,Answer factoids better than experts,question answering,Answer any easily Googleable factoid question posed in natural language better than an expert on the relevant topic with internet access.,2016 ESPAI fixed-probabilities framing,2019,2021,2026,partial / close but not proven,,2023,,medium,https://aclanthology.org/2023.acl-long.307/,https://openai.com/index/gpt-4-research/,"Modern language models answer many open-domain factoid questions well, but I did not locate a clean benchmark proving performance better than a topic expert with internet access for any easily Googleable factoid.",The expert-with-internet comparator makes the original task unusually demanding.,"show as partial, not achieved",2026-06-10
open_quest,Answer open-ended questions well,question answering,Answer any easily Googleable factual but open-ended question posed in natural language better than an expert on the relevant topic with internet access.,2016 ESPAI fixed-probabilities framing,2021,2026,2031,partial / close but not proven,,2025,,medium,https://deepresearch-bench.github.io/,https://openai.com/index/introducing-deep-research/,"Deep-research systems can produce sourced answers to open-ended factual questions, but I did not locate a benchmark proving they outperform relevant experts with internet access on any easily Googleable open-ended question.",The exact universal claim is stronger than product demonstrations.,"show as partial, not achieved",2026-06-10
unkn_quest,Answer unanswered questions well,question answering,Give good natural-language answers to factual questions for which there are no definite correct answers.,2016 ESPAI fixed-probabilities framing,2020,2026,2033.5,likely achieved,2022,2022,inside 10–90% band,medium,https://openai.com/index/chatgpt/,,ChatGPT publicly demonstrated useful natural-language responses to questions without a single definite correct answer.,The word 'good' is subjective. Use this milestone only if the story explains that the threshold is judgment-based.,include with qualification,2026-06-10
essay,High marks for a high school essay,writing,Write an essay for a high-school history class that would receive high grades and pass plagiarism detectors.,2016 ESPAI fixed-probabilities framing,2018,2023,2031,likely achieved,2023,2023,inside 10–90% band,medium,https://arxiv.org/abs/2302.04335,https://arxiv.org/abs/2304.14276,"Studies found ChatGPT-generated essays could exhibit high originality, evade common plagiarism checks, and receive favorable quality ratings relative to human essays.",The studies are not an exact replication of a high-school history-class grading exercise.,include with qualification,2026-06-10
top_forty,Create a top forty song,music,Compose a song good enough to reach the US Top 40; output the complete song as an audio file.,2016 ESPAI fixed-probabilities framing,2021,2026,2036,not demonstrated,,2025,,medium,https://www.billboard.com/lists/ai-artists-on-billboard-charts/,https://www.billboard.com/pro/ai-artists-breaking-rust-country-music-chart-reactions/,"AI-associated and AI-assisted music has charted, but I did not locate a verified fully AI-generated complete song reaching the main US Top 40.",Billboard subcharts and AI-assisted releases do not satisfy the literal target.,exclude from achieved markers,2026-06-10
taylor,Produce a Taylor Swift song,music,"Produce a song indistinguishable from a new song by a particular artist, e.g. Taylor Swift, to experienced listeners.",2016 ESPAI fixed-probabilities framing,2021,2026,2036,not demonstrated,,,,medium,https://www.reuters.com/legal/legalindustry/when-beat-goes-without-you-can-first-party-cyber-media-insurance-protect-music--pracin-2026-06-03/,,"AI voice and music imitation are widespread concerns, but I did not locate an experienced-listener study showing a fully generated new song indistinguishable from a specific artist's work.",Existence of deepfakes is not the same as satisfying the blinded-listener test.,exclude from achieved markers,2026-06-10
novel,Write a NYT bestseller,writing,Write a novel or short story good enough to make the New York Times best-seller list.,2016 ESPAI fixed-probabilities framing,2026,2046,2066,not demonstrated,,,,medium,https://www.metaculus.com/questions/11679/first-ai-generated-nyt-best-seller/,,I did not locate a verified AI-written novel or short story that made the New York Times best-seller list.,"This is an outcome milestone, so the absence of a verified public example is meaningful but should still be monitored.",exclude from achieved markers,2026-06-10
explain,Concisely explain its game play,explainability,"For any computer game that can be played well by a machine, explain the machine's choice of moves concisely and completely to a layperson.",2016 ESPAI fixed-probabilities framing,2021,2026,2031,not demonstrated,,,,medium,https://cacm.acm.org/research/explainability-is-not-a-game/,,"Explainability research has advanced, but I did not locate a general system that concisely and completely explains a game-playing machine's move choices to laypeople for any game the machine can play well.","The words 'any', 'concisely', and 'completely' make this a very demanding target.",exclude from achieved markers,2026-06-10
poker,Win World Series of Poker,games,Play poker well enough to win the World Series of Poker.,2016 ESPAI fixed-probabilities framing,2017,2019,2021.5,likely achieved,2019,2019,inside 10–90% band,medium,https://www.cmu.edu/news/stories/archives/2019/july/cmu-facebook-ai-beats-poker-pros.html,https://www.science.org/doi/10.1126/science.aay2400,"Pluribus defeated elite professionals in six-player no-limit Texas Hold'em, a major multiplayer poker format.","The system did not literally enter and win a World Series of Poker event, so the match is inferential rather than exact.",include with qualification,2026-06-10
laws_phys,Output laws of physics of virtual world,science reasoning,"After spending time in a virtual world, output the differential equations governing that world in symbolic form.",2016 ESPAI fixed-probabilities framing,2021,2026,2036,partial / narrower benchmark,,2021,,medium,https://arxiv.org/abs/1905.11481,https://arxiv.org/abs/2107.07345,AI Feynman and follow-on work recovered symbolic equations and ordinary differential-equation systems from data on benchmarks.,Benchmark symbolic regression is narrower than spending time in an arbitrary virtual world and outputting its governing differential equations.,"show as partial, not achieved",2026-06-10
